"human" "cell_type1"
"human1_lib1.final_cell_0564" 1 "endothelial"
"human1_lib1.final_cell_0565" 1 "endothelial"
"human1_lib1.final_cell_0566" 1 "alpha"
"human1_lib1.final_cell_0567" 1 "ductal"
"human1_lib1.final_cell_0568" 1 "beta"
"human1_lib2.final_cell_0001" 1 "delta"
"human1_lib2.final_cell_0002" 1 "delta"
"human1_lib2.final_cell_0003" 1 "delta"
"human1_lib2.final_cell_0004" 1 "acinar"
"human1_lib2.final_cell_0005" 1 "acinar"
"human1_lib2.final_cell_0006" 1 "acinar"
"human1_lib2.final_cell_0007" 1 "acinar"
"human1_lib2.final_cell_0008" 1 "delta"
"human1_lib2.final_cell_0009" 1 "acinar"
"human1_lib2.final_cell_0010" 1 "ductal"
"human1_lib2.final_cell_0011" 1 "alpha"
"human1_lib2.final_cell_0012" 1 "delta"
"human1_lib2.final_cell_0013" 1 "delta"
"human1_lib2.final_cell_0014" 1 "delta"
"human1_lib2.final_cell_0015" 1 "delta"
"human1_lib2.final_cell_0016" 1 "acinar"
"human1_lib2.final_cell_0017" 1 "beta"
"human1_lib2.final_cell_0018" 1 "acinar"
"human1_lib2.final_cell_0019" 1 "endothelial"
"human1_lib2.final_cell_0020" 1 "delta"
"human1_lib2.final_cell_0021" 1 "beta"
"human1_lib2.final_cell_0022" 1 "delta"
"human1_lib2.final_cell_0023" 1 "alpha"
"human1_lib2.final_cell_0024" 1 "ductal"
"human1_lib2.final_cell_0025" 1 "delta"
"human1_lib2.final_cell_0026" 1 "delta"
"human1_lib2.final_cell_0027" 1 "beta"
"human1_lib2.final_cell_0028" 1 "delta"
"human1_lib2.final_cell_0029" 1 "beta"
"human1_lib2.final_cell_0030" 1 "beta"
"human1_lib2.final_cell_0031" 1 "delta"
"human1_lib2.final_cell_0032" 1 "gamma"
"human1_lib2.final_cell_0033" 1 "beta"
"human1_lib2.final_cell_0034" 1 "delta"
"human1_lib2.final_cell_0035" 1 "beta"
"human1_lib2.final_cell_0036" 1 "delta"
"human1_lib2.final_cell_0037" 1 "beta"
"human1_lib2.final_cell_0038" 1 "alpha"
"human1_lib2.final_cell_0039" 1 "beta"
"human1_lib2.final_cell_0040" 1 "delta"
"human1_lib2.final_cell_0041" 1 "delta"
"human1_lib2.final_cell_0042" 1 "beta"
"human1_lib2.final_cell_0043" 1 "delta"
"human1_lib2.final_cell_0044" 1 "delta"
"human1_lib2.final_cell_0045" 1 "ductal"
"human1_lib2.final_cell_0046" 1 "beta"
"human1_lib2.final_cell_0047" 1 "delta"
"human1_lib2.final_cell_0048" 1 "delta"
"human1_lib2.final_cell_0049" 1 "alpha"
"human1_lib2.final_cell_0050" 1 "beta"
"human1_lib2.final_cell_0051" 1 "alpha"
"human1_lib2.final_cell_0052" 1 "alpha"
"human1_lib2.final_cell_0053" 1 "beta"
"human1_lib2.final_cell_0054" 1 "acinar"
"human1_lib2.final_cell_0055" 1 "beta"
"human1_lib2.final_cell_0056" 1 "beta"
"human1_lib2.final_cell_0057" 1 "beta"
"human1_lib2.final_cell_0058" 1 "delta"
"human1_lib2.final_cell_0059" 1 "activated_stellate"
"human1_lib2.final_cell_0060" 1 "beta"
"human1_lib2.final_cell_0061" 1 "beta"
"human1_lib2.final_cell_0062" 1 "beta"
"human1_lib2.final_cell_0063" 1 "delta"
"human1_lib2.final_cell_0064" 1 "beta"
"human1_lib2.final_cell_0065" 1 "alpha"
"human1_lib2.final_cell_0066" 1 "ductal"
"human1_lib2.final_cell_0067" 1 "acinar"
"human1_lib2.final_cell_0068" 1 "delta"
"human1_lib2.final_cell_0069" 1 "beta"
"human1_lib2.final_cell_0070" 1 "beta"
"human1_lib2.final_cell_0071" 1 "beta"
"human1_lib2.final_cell_0072" 1 "acinar"
"human1_lib2.final_cell_0073" 1 "beta"
"human1_lib2.final_cell_0074" 1 "delta"
"human1_lib2.final_cell_0075" 1 "beta"
"human1_lib2.final_cell_0076" 1 "beta"
"human1_lib2.final_cell_0077" 1 "beta"
"human1_lib2.final_cell_0078" 1 "delta"
"human1_lib2.final_cell_0079" 1 "delta"
"human1_lib2.final_cell_0080" 1 "beta"
"human1_lib2.final_cell_0081" 1 "delta"
"human1_lib2.final_cell_0082" 1 "beta"
"human1_lib2.final_cell_0083" 1 "beta"
"human1_lib2.final_cell_0084" 1 "beta"
"human1_lib2.final_cell_0085" 1 "beta"
"human1_lib2.final_cell_0086" 1 "beta"
"human1_lib2.final_cell_0087" 1 "beta"
"human1_lib2.final_cell_0088" 1 "acinar"
"human1_lib2.final_cell_0089" 1 "beta"
"human1_lib2.final_cell_0090" 1 "beta"
"human1_lib2.final_cell_0091" 1 "beta"
"human1_lib2.final_cell_0092" 1 "alpha"
"human1_lib2.final_cell_0093" 1 "endothelial"
"human1_lib2.final_cell_0094" 1 "beta"
"human1_lib2.final_cell_0095" 1 "delta"
"human1_lib2.final_cell_0096" 1 "beta"
"human1_lib2.final_cell_0097" 1 "delta"
"human1_lib2.final_cell_0098" 1 "beta"
"human1_lib2.final_cell_0099" 1 "delta"
"human1_lib2.final_cell_0100" 1 "beta"
"human1_lib2.final_cell_0101" 1 "beta"
"human1_lib2.final_cell_0102" 1 "delta"
"human1_lib2.final_cell_0103" 1 "ductal"
"human1_lib2.final_cell_0104" 1 "beta"
"human1_lib2.final_cell_0105" 1 "beta"
"human1_lib2.final_cell_0106" 1 "ductal"
"human1_lib2.final_cell_0107" 1 "beta"
"human1_lib2.final_cell_0108" 1 "beta"
"human1_lib2.final_cell_0109" 1 "beta"
"human1_lib2.final_cell_0110" 1 "beta"
"human1_lib2.final_cell_0111" 1 "acinar"
"human1_lib2.final_cell_0112" 1 "acinar"
"human1_lib2.final_cell_0113" 1 "beta"
"human1_lib2.final_cell_0114" 1 "alpha"
"human1_lib2.final_cell_0115" 1 "beta"
"human1_lib2.final_cell_0116" 1 "delta"
"human1_lib2.final_cell_0117" 1 "beta"
"human1_lib2.final_cell_0118" 1 "beta"
"human1_lib2.final_cell_0119" 1 "beta"
"human1_lib2.final_cell_0120" 1 "beta"
"human1_lib2.final_cell_0121" 1 "beta"
"human1_lib2.final_cell_0122" 1 "ductal"
"human1_lib2.final_cell_0123" 1 "beta"
"human1_lib2.final_cell_0124" 1 "acinar"
"human1_lib2.final_cell_0125" 1 "beta"
"human1_lib2.final_cell_0126" 1 "acinar"
"human1_lib2.final_cell_0127" 1 "beta"
"human1_lib2.final_cell_0128" 1 "ductal"
"human1_lib2.final_cell_0129" 1 "beta"
"human1_lib2.final_cell_0130" 1 "activated_stellate"
"human1_lib2.final_cell_0131" 1 "alpha"
"human1_lib2.final_cell_0132" 1 "beta"
"human1_lib2.final_cell_0133" 1 "delta"
"human1_lib2.final_cell_0134" 1 "delta"
"human1_lib2.final_cell_0135" 1 "beta"
"human1_lib2.final_cell_0136" 1 "beta"
"human1_lib2.final_cell_0137" 1 "beta"
"human1_lib2.final_cell_0138" 1 "beta"
"human1_lib2.final_cell_0139" 1 "acinar"
"human1_lib2.final_cell_0140" 1 "beta"
"human1_lib2.final_cell_0141" 1 "beta"
"human1_lib2.final_cell_0142" 1 "beta"
"human1_lib2.final_cell_0143" 1 "delta"
"human1_lib2.final_cell_0144" 1 "beta"
"human1_lib2.final_cell_0145" 1 "ductal"
"human1_lib2.final_cell_0146" 1 "beta"
"human1_lib2.final_cell_0147" 1 "beta"
"human1_lib2.final_cell_0148" 1 "ductal"
"human1_lib2.final_cell_0149" 1 "macrophage"
"human1_lib2.final_cell_0150" 1 "beta"
"human1_lib2.final_cell_0151" 1 "delta"
"human1_lib2.final_cell_0152" 1 "beta"
"human1_lib2.final_cell_0153" 1 "beta"
"human1_lib2.final_cell_0154" 1 "beta"
"human1_lib2.final_cell_0155" 1 "beta"
"human1_lib2.final_cell_0156" 1 "beta"
"human1_lib2.final_cell_0157" 1 "activated_stellate"
"human1_lib2.final_cell_0158" 1 "beta"
"human1_lib2.final_cell_0159" 1 "beta"
"human1_lib2.final_cell_0160" 1 "ductal"
"human1_lib2.final_cell_0161" 1 "beta"
"human1_lib2.final_cell_0162" 1 "beta"
"human1_lib2.final_cell_0163" 1 "beta"
"human1_lib2.final_cell_0164" 1 "beta"
"human1_lib2.final_cell_0165" 1 "beta"
"human1_lib2.final_cell_0166" 1 "delta"
"human1_lib2.final_cell_0167" 1 "beta"
"human1_lib2.final_cell_0168" 1 "beta"
"human1_lib2.final_cell_0169" 1 "delta"
"human1_lib2.final_cell_0170" 1 "beta"
"human1_lib2.final_cell_0171" 1 "beta"
"human1_lib2.final_cell_0172" 1 "beta"
"human1_lib2.final_cell_0173" 1 "beta"
"human1_lib2.final_cell_0174" 1 "alpha"
"human1_lib2.final_cell_0175" 1 "beta"
"human1_lib2.final_cell_0176" 1 "beta"
"human1_lib2.final_cell_0177" 1 "acinar"
"human1_lib2.final_cell_0178" 1 "beta"
"human1_lib2.final_cell_0179" 1 "beta"
"human1_lib2.final_cell_0180" 1 "beta"
"human1_lib2.final_cell_0181" 1 "beta"
"human1_lib2.final_cell_0182" 1 "ductal"
"human1_lib2.final_cell_0183" 1 "beta"
"human1_lib2.final_cell_0184" 1 "delta"
"human1_lib2.final_cell_0185" 1 "beta"
"human1_lib2.final_cell_0186" 1 "alpha"
"human1_lib2.final_cell_0187" 1 "beta"
"human1_lib2.final_cell_0188" 1 "beta"
"human1_lib2.final_cell_0189" 1 "beta"
"human1_lib2.final_cell_0190" 1 "beta"
"human1_lib2.final_cell_0191" 1 "delta"
"human1_lib2.final_cell_0192" 1 "beta"
"human1_lib2.final_cell_0193" 1 "beta"
"human1_lib2.final_cell_0194" 1 "delta"
"human1_lib2.final_cell_0195" 1 "beta"
"human1_lib2.final_cell_0196" 1 "beta"
"human1_lib2.final_cell_0197" 1 "beta"
"human1_lib2.final_cell_0198" 1 "beta"
"human1_lib2.final_cell_0199" 1 "beta"
"human1_lib2.final_cell_0200" 1 "beta"
"human1_lib2.final_cell_0201" 1 "beta"
"human1_lib2.final_cell_0202" 1 "gamma"
"human1_lib2.final_cell_0203" 1 "beta"
"human1_lib2.final_cell_0204" 1 "beta"
"human1_lib2.final_cell_0205" 1 "delta"
"human1_lib2.final_cell_0206" 1 "ductal"
"human1_lib2.final_cell_0207" 1 "beta"
"human1_lib2.final_cell_0208" 1 "beta"
"human1_lib2.final_cell_0209" 1 "beta"
"human1_lib2.final_cell_0210" 1 "delta"
"human1_lib2.final_cell_0211" 1 "beta"
"human1_lib2.final_cell_0212" 1 "ductal"
"human1_lib2.final_cell_0213" 1 "beta"
"human1_lib2.final_cell_0214" 1 "beta"
"human1_lib2.final_cell_0215" 1 "beta"
"human1_lib2.final_cell_0216" 1 "beta"
"human1_lib2.final_cell_0217" 1 "ductal"
"human1_lib2.final_cell_0218" 1 "activated_stellate"
"human1_lib2.final_cell_0219" 1 "beta"
"human1_lib2.final_cell_0220" 1 "alpha"
"human1_lib2.final_cell_0221" 1 "beta"
"human1_lib2.final_cell_0222" 1 "beta"
"human1_lib2.final_cell_0223" 1 "activated_stellate"
"human1_lib2.final_cell_0224" 1 "alpha"
"human1_lib2.final_cell_0225" 1 "acinar"
"human1_lib2.final_cell_0226" 1 "gamma"
"human1_lib2.final_cell_0227" 1 "beta"
"human1_lib2.final_cell_0228" 1 "beta"
"human1_lib2.final_cell_0229" 1 "beta"
"human1_lib2.final_cell_0230" 1 "delta"
"human1_lib2.final_cell_0231" 1 "alpha"
"human1_lib2.final_cell_0232" 1 "endothelial"
"human1_lib2.final_cell_0233" 1 "gamma"
"human1_lib2.final_cell_0234" 1 "beta"
"human1_lib2.final_cell_0235" 1 "alpha"
"human1_lib2.final_cell_0236" 1 "beta"
"human1_lib2.final_cell_0237" 1 "beta"
"human1_lib2.final_cell_0238" 1 "beta"
"human1_lib2.final_cell_0239" 1 "beta"
"human1_lib2.final_cell_0240" 1 "beta"
"human1_lib2.final_cell_0241" 1 "endothelial"
"human1_lib2.final_cell_0242" 1 "beta"
"human1_lib2.final_cell_0243" 1 "delta"
"human1_lib2.final_cell_0244" 1 "beta"
"human1_lib2.final_cell_0245" 1 "alpha"
"human1_lib2.final_cell_0246" 1 "beta"
"human1_lib2.final_cell_0247" 1 "alpha"
"human1_lib2.final_cell_0248" 1 "alpha"
"human1_lib2.final_cell_0249" 1 "delta"
"human1_lib2.final_cell_0250" 1 "alpha"
"human1_lib2.final_cell_0251" 1 "ductal"
"human1_lib2.final_cell_0252" 1 "beta"
"human1_lib2.final_cell_0253" 1 "alpha"
"human1_lib2.final_cell_0254" 1 "endothelial"
"human1_lib2.final_cell_0255" 1 "beta"
"human1_lib2.final_cell_0256" 1 "beta"
"human1_lib2.final_cell_0257" 1 "ductal"
"human1_lib2.final_cell_0258" 1 "delta"
"human1_lib2.final_cell_0259" 1 "beta"
"human1_lib2.final_cell_0260" 1 "beta"
"human1_lib2.final_cell_0261" 1 "alpha"
"human1_lib2.final_cell_0262" 1 "alpha"
"human1_lib2.final_cell_0263" 1 "delta"
"human1_lib2.final_cell_0264" 1 "gamma"
"human1_lib2.final_cell_0265" 1 "alpha"
"human1_lib2.final_cell_0266" 1 "beta"
"human1_lib2.final_cell_0267" 1 "alpha"
"human1_lib2.final_cell_0268" 1 "ductal"
"human1_lib2.final_cell_0269" 1 "beta"
"human1_lib2.final_cell_0270" 1 "gamma"
"human1_lib2.final_cell_0271" 1 "beta"
"human1_lib2.final_cell_0272" 1 "schwann"
"human1_lib2.final_cell_0273" 1 "delta"
"human1_lib2.final_cell_0274" 1 "beta"
"human1_lib2.final_cell_0275" 1 "alpha"
"human1_lib2.final_cell_0276" 1 "delta"
"human1_lib2.final_cell_0277" 1 "beta"
"human1_lib2.final_cell_0278" 1 "acinar"
"human1_lib2.final_cell_0279" 1 "beta"
"human1_lib2.final_cell_0280" 1 "beta"
"human1_lib2.final_cell_0281" 1 "beta"
"human1_lib2.final_cell_0282" 1 "beta"
"human1_lib2.final_cell_0283" 1 "beta"
"human1_lib2.final_cell_0284" 1 "alpha"
"human1_lib2.final_cell_0285" 1 "beta"
"human1_lib2.final_cell_0286" 1 "beta"
"human1_lib2.final_cell_0287" 1 "macrophage"
"human1_lib2.final_cell_0288" 1 "gamma"
"human1_lib2.final_cell_0289" 1 "beta"
"human1_lib2.final_cell_0290" 1 "beta"
"human1_lib2.final_cell_0291" 1 "alpha"
"human1_lib2.final_cell_0292" 1 "acinar"
"human1_lib2.final_cell_0293" 1 "endothelial"
"human1_lib2.final_cell_0294" 1 "alpha"
"human1_lib2.final_cell_0295" 1 "beta"
"human1_lib2.final_cell_0296" 1 "alpha"
"human1_lib2.final_cell_0297" 1 "alpha"
"human1_lib2.final_cell_0298" 1 "alpha"
"human1_lib2.final_cell_0299" 1 "beta"
"human1_lib2.final_cell_0300" 1 "beta"
"human1_lib2.final_cell_0301" 1 "alpha"
"human1_lib2.final_cell_0302" 1 "alpha"
"human1_lib2.final_cell_0303" 1 "macrophage"
"human1_lib2.final_cell_0304" 1 "alpha"
"human1_lib2.final_cell_0305" 1 "beta"
"human1_lib2.final_cell_0306" 1 "beta"
"human1_lib2.final_cell_0307" 1 "beta"
"human1_lib2.final_cell_0308" 1 "alpha"
"human1_lib2.final_cell_0309" 1 "activated_stellate"
"human1_lib2.final_cell_0310" 1 "delta"
"human1_lib2.final_cell_0311" 1 "alpha"
"human1_lib2.final_cell_0312" 1 "alpha"
"human1_lib2.final_cell_0313" 1 "endothelial"
"human1_lib2.final_cell_0314" 1 "beta"
"human1_lib2.final_cell_0315" 1 "delta"
"human1_lib2.final_cell_0316" 1 "beta"
"human1_lib2.final_cell_0317" 1 "beta"
"human1_lib2.final_cell_0318" 1 "beta"
"human1_lib2.final_cell_0319" 1 "ductal"
"human1_lib2.final_cell_0320" 1 "beta"
"human1_lib2.final_cell_0321" 1 "ductal"
"human1_lib2.final_cell_0322" 1 "beta"
"human1_lib2.final_cell_0323" 1 "beta"
"human1_lib2.final_cell_0324" 1 "activated_stellate"
"human1_lib2.final_cell_0325" 1 "beta"
"human1_lib2.final_cell_0326" 1 "ductal"
"human1_lib2.final_cell_0327" 1 "beta"
"human1_lib2.final_cell_0328" 1 "beta"
"human1_lib2.final_cell_0329" 1 "delta"
"human1_lib2.final_cell_0330" 1 "ductal"
"human1_lib2.final_cell_0331" 1 "alpha"
"human1_lib2.final_cell_0332" 1 "ductal"
"human1_lib2.final_cell_0333" 1 "beta"
"human1_lib2.final_cell_0334" 1 "gamma"
"human1_lib2.final_cell_0335" 1 "ductal"
"human1_lib2.final_cell_0336" 1 "beta"
"human1_lib2.final_cell_0337" 1 "gamma"
"human1_lib2.final_cell_0338" 1 "delta"
"human1_lib2.final_cell_0339" 1 "alpha"
"human1_lib2.final_cell_0340" 1 "gamma"
"human1_lib2.final_cell_0341" 1 "alpha"
"human1_lib2.final_cell_0342" 1 "beta"
"human1_lib2.final_cell_0343" 1 "macrophage"
"human1_lib2.final_cell_0344" 1 "beta"
"human1_lib2.final_cell_0345" 1 "beta"
"human1_lib2.final_cell_0346" 1 "quiescent_stellate"
"human1_lib2.final_cell_0347" 1 "delta"
"human1_lib2.final_cell_0348" 1 "beta"
"human1_lib2.final_cell_0349" 1 "alpha"
"human1_lib2.final_cell_0350" 1 "beta"
"human1_lib2.final_cell_0351" 1 "alpha"
"human1_lib2.final_cell_0352" 1 "beta"
"human1_lib2.final_cell_0353" 1 "beta"
"human1_lib2.final_cell_0354" 1 "gamma"
"human1_lib2.final_cell_0355" 1 "alpha"
"human1_lib2.final_cell_0356" 1 "beta"
"human1_lib2.final_cell_0357" 1 "beta"
"human1_lib2.final_cell_0358" 1 "beta"
"human1_lib2.final_cell_0359" 1 "beta"
"human1_lib2.final_cell_0360" 1 "macrophage"
"human1_lib2.final_cell_0361" 1 "beta"
"human1_lib2.final_cell_0362" 1 "delta"
"human1_lib2.final_cell_0363" 1 "beta"
"human1_lib2.final_cell_0364" 1 "gamma"
"human1_lib2.final_cell_0365" 1 "epsilon"
"human1_lib2.final_cell_0366" 1 "delta"
"human1_lib2.final_cell_0367" 1 "alpha"
"human1_lib2.final_cell_0368" 1 "beta"
"human1_lib2.final_cell_0369" 1 "beta"
"human1_lib2.final_cell_0370" 1 "delta"
"human1_lib2.final_cell_0371" 1 "alpha"
"human1_lib2.final_cell_0372" 1 "endothelial"
"human1_lib2.final_cell_0373" 1 "beta"
"human1_lib2.final_cell_0374" 1 "activated_stellate"
"human1_lib2.final_cell_0375" 1 "acinar"
"human1_lib2.final_cell_0376" 1 "beta"
"human1_lib2.final_cell_0377" 1 "acinar"
"human1_lib2.final_cell_0378" 1 "alpha"
"human1_lib2.final_cell_0379" 1 "gamma"
"human1_lib2.final_cell_0380" 1 "macrophage"
"human1_lib2.final_cell_0381" 1 "beta"
"human1_lib2.final_cell_0382" 1 "beta"
"human1_lib2.final_cell_0383" 1 "acinar"
"human1_lib2.final_cell_0384" 1 "beta"
"human1_lib2.final_cell_0385" 1 "beta"
"human1_lib2.final_cell_0386" 1 "alpha"
"human1_lib2.final_cell_0387" 1 "delta"
"human1_lib2.final_cell_0388" 1 "beta"
"human1_lib2.final_cell_0389" 1 "ductal"
"human1_lib2.final_cell_0390" 1 "alpha"
"human1_lib2.final_cell_0391" 1 "beta"
"human1_lib2.final_cell_0392" 1 "delta"
"human1_lib2.final_cell_0393" 1 "beta"
"human1_lib2.final_cell_0394" 1 "beta"
"human1_lib2.final_cell_0395" 1 "acinar"
"human1_lib2.final_cell_0396" 1 "beta"
"human1_lib2.final_cell_0397" 1 "beta"
"human1_lib2.final_cell_0398" 1 "beta"
"human1_lib2.final_cell_0399" 1 "alpha"
"human1_lib2.final_cell_0400" 1 "alpha"
"human1_lib2.final_cell_0401" 1 "alpha"
"human1_lib2.final_cell_0402" 1 "ductal"
"human1_lib2.final_cell_0403" 1 "alpha"
"human1_lib2.final_cell_0404" 1 "acinar"
"human1_lib2.final_cell_0405" 1 "acinar"
"human1_lib2.final_cell_0406" 1 "beta"
"human1_lib2.final_cell_0407" 1 "delta"
"human1_lib2.final_cell_0408" 1 "quiescent_stellate"
"human1_lib2.final_cell_0409" 1 "alpha"
"human1_lib2.final_cell_0410" 1 "delta"
"human1_lib2.final_cell_0411" 1 "beta"
"human1_lib2.final_cell_0412" 1 "ductal"
"human1_lib2.final_cell_0413" 1 "beta"
"human1_lib2.final_cell_0414" 1 "beta"
"human1_lib2.final_cell_0415" 1 "beta"
"human1_lib2.final_cell_0416" 1 "beta"
"human1_lib2.final_cell_0417" 1 "quiescent_stellate"
"human1_lib2.final_cell_0418" 1 "endothelial"
"human1_lib2.final_cell_0419" 1 "acinar"
"human1_lib2.final_cell_0420" 1 "activated_stellate"
"human1_lib2.final_cell_0421" 1 "delta"
"human1_lib2.final_cell_0422" 1 "beta"
"human1_lib2.final_cell_0423" 1 "alpha"
"human1_lib2.final_cell_0424" 1 "endothelial"
"human1_lib2.final_cell_0425" 1 "endothelial"
"human1_lib2.final_cell_0426" 1 "alpha"
"human1_lib2.final_cell_0427" 1 "beta"
"human1_lib2.final_cell_0428" 1 "gamma"
"human1_lib2.final_cell_0429" 1 "beta"
"human1_lib2.final_cell_0430" 1 "ductal"
"human1_lib2.final_cell_0431" 1 "activated_stellate"
"human1_lib2.final_cell_0432" 1 "alpha"
"human1_lib2.final_cell_0433" 1 "beta"
"human1_lib2.final_cell_0434" 1 "beta"
"human1_lib2.final_cell_0435" 1 "alpha"
"human1_lib2.final_cell_0436" 1 "acinar"
"human1_lib2.final_cell_0437" 1 "quiescent_stellate"
"human1_lib2.final_cell_0438" 1 "beta"
"human1_lib2.final_cell_0439" 1 "alpha"
"human1_lib2.final_cell_0440" 1 "beta"
"human1_lib2.final_cell_0441" 1 "ductal"
"human1_lib2.final_cell_0442" 1 "beta"
"human1_lib2.final_cell_0443" 1 "delta"
"human1_lib2.final_cell_0444" 1 "beta"
"human1_lib2.final_cell_0445" 1 "beta"
"human1_lib2.final_cell_0446" 1 "beta"
"human1_lib2.final_cell_0447" 1 "beta"
"human1_lib2.final_cell_0448" 1 "quiescent_stellate"
"human1_lib2.final_cell_0449" 1 "beta"
"human1_lib2.final_cell_0450" 1 "beta"
"human1_lib2.final_cell_0451" 1 "schwann"
"human1_lib2.final_cell_0452" 1 "endothelial"
"human1_lib2.final_cell_0453" 1 "beta"
"human1_lib2.final_cell_0454" 1 "beta"
"human1_lib2.final_cell_0455" 1 "ductal"
"human1_lib2.final_cell_0456" 1 "gamma"
"human1_lib2.final_cell_0457" 1 "alpha"
"human1_lib2.final_cell_0458" 1 "gamma"
"human1_lib2.final_cell_0459" 1 "alpha"
"human1_lib2.final_cell_0460" 1 "quiescent_stellate"
"human1_lib2.final_cell_0461" 1 "endothelial"
"human1_lib2.final_cell_0462" 1 "quiescent_stellate"
"human1_lib2.final_cell_0463" 1 "delta"
"human1_lib2.final_cell_0464" 1 "beta"
"human1_lib2.final_cell_0465" 1 "ductal"
"human1_lib2.final_cell_0466" 1 "endothelial"
"human1_lib2.final_cell_0467" 1 "beta"
"human1_lib2.final_cell_0468" 1 "delta"
"human1_lib2.final_cell_0469" 1 "activated_stellate"
"human1_lib2.final_cell_0470" 1 "endothelial"
"human1_lib2.final_cell_0471" 1 "acinar"
"human1_lib2.final_cell_0472" 1 "endothelial"
"human1_lib2.final_cell_0473" 1 "delta"
"human1_lib2.final_cell_0474" 1 "gamma"
"human1_lib2.final_cell_0475" 1 "activated_stellate"
"human1_lib2.final_cell_0476" 1 "endothelial"
"human1_lib2.final_cell_0477" 1 "beta"
"human1_lib2.final_cell_0478" 1 "ductal"
"human1_lib2.final_cell_0479" 1 "beta"
"human1_lib2.final_cell_0480" 1 "beta"
"human1_lib2.final_cell_0481" 1 "alpha"
"human1_lib2.final_cell_0482" 1 "alpha"
"human1_lib2.final_cell_0483" 1 "beta"
"human1_lib2.final_cell_0484" 1 "ductal"
"human1_lib2.final_cell_0485" 1 "beta"
"human1_lib2.final_cell_0486" 1 "alpha"
"human1_lib2.final_cell_0487" 1 "endothelial"
"human1_lib2.final_cell_0488" 1 "endothelial"
"human1_lib2.final_cell_0489" 1 "beta"
"human1_lib2.final_cell_0490" 1 "endothelial"
"human1_lib2.final_cell_0491" 1 "endothelial"
"human1_lib2.final_cell_0492" 1 "alpha"
"human1_lib2.final_cell_0493" 1 "quiescent_stellate"
"human1_lib2.final_cell_0494" 1 "ductal"
"human1_lib2.final_cell_0495" 1 "beta"
"human1_lib2.final_cell_0496" 1 "quiescent_stellate"
"human1_lib2.final_cell_0497" 1 "epsilon"
"human1_lib2.final_cell_0498" 1 "delta"
"human1_lib2.final_cell_0499" 1 "macrophage"
"human1_lib2.final_cell_0500" 1 "gamma"
"human1_lib2.final_cell_0501" 1 "ductal"
"human1_lib2.final_cell_0502" 1 "alpha"
"human1_lib2.final_cell_0503" 1 "beta"
"human1_lib2.final_cell_0504" 1 "alpha"
"human1_lib2.final_cell_0505" 1 "endothelial"
"human1_lib2.final_cell_0506" 1 "beta"
"human1_lib2.final_cell_0507" 1 "gamma"
"human1_lib2.final_cell_0508" 1 "beta"
"human1_lib2.final_cell_0509" 1 "beta"
"human1_lib2.final_cell_0510" 1 "quiescent_stellate"
"human1_lib2.final_cell_0511" 1 "alpha"
"human1_lib2.final_cell_0512" 1 "beta"
"human1_lib2.final_cell_0513" 1 "gamma"
"human1_lib2.final_cell_0514" 1 "alpha"
"human1_lib2.final_cell_0515" 1 "alpha"
"human1_lib2.final_cell_0516" 1 "beta"
"human1_lib2.final_cell_0517" 1 "endothelial"
"human1_lib2.final_cell_0518" 1 "beta"
"human1_lib2.final_cell_0519" 1 "quiescent_stellate"
"human1_lib2.final_cell_0520" 1 "endothelial"
"human1_lib2.final_cell_0521" 1 "beta"
"human1_lib2.final_cell_0522" 1 "beta"
"human1_lib2.final_cell_0523" 1 "beta"
"human1_lib2.final_cell_0524" 1 "beta"
"human1_lib2.final_cell_0525" 1 "ductal"
"human1_lib2.final_cell_0526" 1 "beta"
"human1_lib2.final_cell_0527" 1 "alpha"
"human1_lib2.final_cell_0528" 1 "quiescent_stellate"
"human1_lib2.final_cell_0529" 1 "beta"
"human1_lib2.final_cell_0530" 1 "endothelial"
"human1_lib2.final_cell_0531" 1 "beta"
"human1_lib2.final_cell_0532" 1 "ductal"
"human1_lib2.final_cell_0533" 1 "ductal"
"human1_lib2.final_cell_0534" 1 "beta"
